DATE,RVOL
02/01/2001,22.17
02/02/2001,15.21
02/05/2001,14.97
02/06/2001,11.72
02/07/2001,12.1
02/08/2001,12.26
02/09/2001,12.51
02/12/2001,12.74
02/13/2001,12.97
02/14/2001,12.82
02/15/2001,13.03
02/16/2001,13.7
02/20/2001,14.87
02/21/2001,16.46
02/22/2001,16
02/23/2001,16.07
02/26/2001,17.26
02/27/2001,17.42
02/28/2001,18.19
03/01/2001,18.03
03/02/2001,18.06
03/05/2001,18.18
03/06/2001,17.56
03/07/2001,17.55
03/08/2001,17.53
03/09/2001,19.48
03/12/2001,24.94
03/13/2001,25.23
03/14/2001,26.42
03/15/2001,26.28
03/16/2001,27.16
03/19/2001,27.82
03/20/2001,28.49
03/21/2001,28.5
03/22/2001,27.67
03/23/2001,28.66
03/26/2001,28.94
03/27/2001,29.36
03/28/2001,30.66
03/29/2001,30.15
03/30/2001,30.3
04/02/2001,30.59
04/03/2001,32.77
04/04/2001,32.57
04/05/2001,35.96
04/06/2001,36.69
04/09/2001,35.72
04/10/2001,33.3
04/11/2001,32.78
04/12/2001,31.91
04/16/2001,31.87
04/17/2001,31.31
04/18/2001,33.48
04/19/2001,32.51
04/20/2001,32.11
04/23/2001,32.5
04/24/2001,31.79
04/25/2001,31.91
04/26/2001,30.88
04/27/2001,29.85
04/30/2001,29.84
05/01/2001,30.06
05/02/2001,29.7
05/03/2001,27.64
05/04/2001,28.07
05/07/2001,23.52
05/08/2001,22.36
05/09/2001,22.16
05/10/2001,20.27
05/11/2001,20.48
05/14/2001,19.95
05/15/2001,19.93
05/16/2001,21.83
05/17/2001,17.18
05/18/2001,16.74
05/21/2001,17.41
05/22/2001,16.62
05/23/2001,17.15
05/24/2001,16.36
05/25/2001,16.75
05/29/2001,16.28
05/30/2001,17.25
05/31/2001,16.71
06/01/2001,16.78
06/04/2001,16.08
06/05/2001,16.01
06/06/2001,16.46
06/07/2001,16.55
06/08/2001,16.79
06/11/2001,17.02
06/12/2001,16.77
06/13/2001,17.2
06/14/2001,18.34
06/15/2001,15.72
06/18/2001,15.78
06/19/2001,15.8
06/20/2001,15.05
06/21/2001,15.41
06/22/2001,14.81
06/25/2001,14.87
06/26/2001,14.37
06/27/2001,14.22
06/28/2001,13.69
06/29/2001,13.55
07/02/2001,13.66
07/03/2001,13.58
07/05/2001,13.84
07/06/2001,15.73
07/09/2001,15.8
07/10/2001,16.23
07/11/2001,15.98
07/12/2001,18.08
07/13/2001,17.78
07/16/2001,16.99
07/17/2001,17.21
07/18/2001,17.2
07/19/2001,17.28
07/20/2001,17.06
07/23/2001,17.74
07/24/2001,18.44
07/25/2001,19.28
07/26/2001,19.7
07/27/2001,19.65
07/30/2001,19.18
07/31/2001,19.25
08/01/2001,19.17
08/02/2001,19.2
08/03/2001,18.49
08/06/2001,16.86
08/07/2001,16.73
08/08/2001,17.08
08/09/2001,17.08
08/10/2001,14.98
08/13/2001,14.85
08/14/2001,14.43
08/15/2001,14.36
08/16/2001,14.3
08/17/2001,15.15
08/20/2001,15.34
08/21/2001,14.78
08/22/2001,13.8
08/23/2001,12.58
08/24/2001,13.64
08/27/2001,13.72
08/28/2001,14.62
08/29/2001,14.99
08/30/2001,16.29
08/31/2001,16.36
09/04/2001,16.3
09/05/2001,15.86
09/06/2001,17.41
09/07/2001,17.75
09/10/2001,17.92
09/17/2001,17.79
09/18/2001,26.9
09/19/2001,27.49
09/20/2001,29.45
09/21/2001,29.96
09/24/2001,31.93
09/25/2001,32.03
09/26/2001,31.79
09/27/2001,31.92
09/28/2001,32.62
10/01/2001,31.93
10/02/2001,32.22
10/03/2001,32.56
10/04/2001,32.34
10/05/2001,31.67
10/08/2001,31.72
10/09/2001,31.77
10/10/2001,32.75
10/11/2001,32.34
10/12/2001,31.64
10/15/2001,31.55
10/16/2001,31.65
10/17/2001,25.3
10/18/2001,24.75
10/19/2001,22.24
10/22/2001,22.24
10/23/2001,18.59
10/24/2001,18.22
10/25/2001,18.61
10/26/2001,18.24
10/29/2001,18.71
10/30/2001,19.74
10/31/2001,19.22
11/01/2001,19.52
11/02/2001,19.55
11/05/2001,20.09
11/06/2001,20.66
11/07/2001,20.59
11/08/2001,19.02
11/09/2001,18.33
11/12/2001,18.25
11/13/2001,19.31
11/14/2001,19.15
11/15/2001,17.93
11/16/2001,17.79
11/19/2001,18.12
11/20/2001,17.36
11/21/2001,17.39
11/23/2001,18.01
11/26/2001,17.57
11/27/2001,17.64
11/28/2001,17.04
11/29/2001,16.2
11/30/2001,16.2
12/03/2001,14.55
12/04/2001,15.22
12/05/2001,16.53
12/06/2001,15.65
12/07/2001,15.82
12/10/2001,16.85
12/11/2001,16.86
12/12/2001,16.85
12/13/2001,16.64
12/14/2001,16.73
12/17/2001,16.99
12/18/2001,17.25
12/19/2001,16.98
12/20/2001,17.08
12/21/2001,17.02
12/24/2001,16.36
12/26/2001,16.37
12/27/2001,16.28
12/28/2001,14.93
12/31/2001,15.06
01/02/2002,15.18
01/03/2002,15.35
01/04/2002,14.76
01/07/2002,12.59
01/08/2002,12.62
01/09/2002,12.49
01/10/2002,11.04
01/11/2002,11.55
01/14/2002,11.72
01/15/2002,10.49
01/16/2002,11.7
01/17/2002,11.72
01/18/2002,11.76
01/22/2002,11.86
01/23/2002,11.85
01/24/2002,11.81
01/25/2002,11.81
01/28/2002,11.69
01/29/2002,15.3
01/30/2002,15.72
01/31/2002,15.97
02/01/2002,15.97
02/04/2002,18
02/05/2002,17.94
02/06/2002,17.91
02/07/2002,17.93
02/08/2002,18.64
02/11/2002,19.32
02/12/2002,19.06
02/13/2002,19.23
02/14/2002,19.09
02/15/2002,18.58
02/19/2002,19.61
02/20/2002,19.99
02/21/2002,20.58
02/22/2002,20.57
02/25/2002,21.54
02/26/2002,21.54
02/27/2002,21.55
02/28/2002,19.13
03/01/2002,20.27
03/04/2002,20.81
03/05/2002,20.84
03/06/2002,19.34
03/07/2002,19.37
03/08/2002,19.41
03/11/2002,19.39
03/12/2002,18.64
03/13/2002,18.22
03/14/2002,18.15
03/15/2002,18.3
03/18/2002,18.28
03/19/2002,18.04
