secid,date,cp_flag,index_flag,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,volume,open_interest
108105,03/01/2012,,1,64881510,SPX,9999,32768,,A,,531861,9914170
108105,03/01/2012,C,1,64881510,SPX,9999,32768,,A,,184834,3662492
108105,03/01/2012,P,1,64881510,SPX,9999,32768,,A,,347027,6251678
108105,04/01/2012,,1,64881510,SPX,9999,32768,,A,,418758,10101822
108105,04/01/2012,C,1,64881510,SPX,9999,32768,,A,,139835,3722446
108105,04/01/2012,P,1,64881510,SPX,9999,32768,,A,,278923,6379376
108105,05/01/2012,,1,64881510,SPX,9999,32768,,A,,467582,10241448
108105,05/01/2012,C,1,64881510,SPX,9999,32768,,A,,173680,3773556
108105,05/01/2012,P,1,64881510,SPX,9999,32768,,A,,293902,6467892
108105,06/01/2012,,1,64881510,SPX,9999,32768,,A,,570997,10402841
108105,06/01/2012,C,1,64881510,SPX,9999,32768,,A,,233240,3825431
108105,06/01/2012,P,1,64881510,SPX,9999,32768,,A,,337757,6577410
108105,09/01/2012,,1,64881510,SPX,9999,32768,,A,,518271,10484879
108105,09/01/2012,C,1,64881510,SPX,9999,32768,,A,,179158,3877253
108105,09/01/2012,P,1,64881510,SPX,9999,32768,,A,,339113,6607626
108105,10/01/2012,,1,64881510,SPX,9999,32768,,A,,637845,10680591
108105,10/01/2012,C,1,64881510,SPX,9999,32768,,A,,261146,3950834
108105,10/01/2012,P,1,64881510,SPX,9999,32768,,A,,376699,6729757
108105,11/01/2012,,1,64881510,SPX,9999,32768,,A,,519692,10910506
108105,11/01/2012,C,1,64881510,SPX,9999,32768,,A,,176744,4028812
108105,11/01/2012,P,1,64881510,SPX,9999,32768,,A,,342948,6881694
108105,12/01/2012,,1,64881510,SPX,9999,32768,,A,,570330,11081005
108105,12/01/2012,C,1,64881510,SPX,9999,32768,,A,,221225,4105068
108105,12/01/2012,P,1,64881510,SPX,9999,32768,,A,,349105,6975937
108105,13/01/2012,,1,64881510,SPX,9999,32768,,A,,621400,11290246
108105,13/01/2012,C,1,64881510,SPX,9999,32768,,A,,228687,4182389
108105,13/01/2012,P,1,64881510,SPX,9999,32768,,A,,392713,7107857
108105,17/01/2012,,1,64881510,SPX,9999,32768,,A,,693936,11408646
108105,17/01/2012,C,1,64881510,SPX,9999,32768,,A,,284696,4201940
108105,17/01/2012,P,1,64881510,SPX,9999,32768,,A,,409240,7206706
108105,18/01/2012,,1,64881510,SPX,9999,32768,,A,,1321688,11642929
108105,18/01/2012,C,1,64881510,SPX,9999,32768,,A,,505971,4269062
108105,18/01/2012,P,1,64881510,SPX,9999,32768,,A,,815717,7373867
108105,19/01/2012,,1,64881510,SPX,9999,32768,,A,,1086463,12262531
108105,19/01/2012,C,1,64881510,SPX,9999,32768,,A,,505041,4452243
108105,19/01/2012,P,1,64881510,SPX,9999,32768,,A,,581422,7810288
108105,20/01/2012,,1,64881510,SPX,9999,32768,,A,,664491,9928670
108105,20/01/2012,C,1,64881510,SPX,9999,32768,,A,,208625,3680401
108105,20/01/2012,P,1,64881510,SPX,9999,32768,,A,,455866,6248269
108105,23/01/2012,,1,64881510,SPX,9999,32768,,A,,531797,10246873
108105,23/01/2012,C,1,64881510,SPX,9999,32768,,A,,164730,3777361
108105,23/01/2012,P,1,64881510,SPX,9999,32768,,A,,367067,6469512
108105,24/01/2012,,1,64881510,SPX,9999,32768,,A,,377393,10510324
108105,24/01/2012,C,1,64881510,SPX,9999,32768,,A,,129967,3879159
108105,24/01/2012,P,1,64881510,SPX,9999,32768,,A,,247426,6631165
108105,25/01/2012,,1,64881510,SPX,9999,32768,,A,,441361,10605844
108105,25/01/2012,C,1,64881510,SPX,9999,32768,,A,,164588,3928175
108105,25/01/2012,P,1,64881510,SPX,9999,32768,,A,,276773,6677669
108105,26/01/2012,,1,64881510,SPX,9999,32768,,A,,714598,10775739
108105,26/01/2012,C,1,64881510,SPX,9999,32768,,A,,240072,3997890
108105,26/01/2012,P,1,64881510,SPX,9999,32768,,A,,474526,6777849
108105,27/01/2012,,1,64881510,SPX,9999,32768,,A,,566886,11062039
108105,27/01/2012,C,1,64881510,SPX,9999,32768,,A,,205849,4092621
108105,27/01/2012,P,1,64881510,SPX,9999,32768,,A,,361037,6969418
108105,30/01/2012,,1,64881510,SPX,9999,32768,,A,,454429,11121282
108105,30/01/2012,C,1,64881510,SPX,9999,32768,,A,,155123,4086595
108105,30/01/2012,P,1,64881510,SPX,9999,32768,,A,,299306,7034687
108105,31/01/2012,,1,64881510,SPX,9999,32768,,A,,383520,11247361
108105,31/01/2012,C,1,64881510,SPX,9999,32768,,A,,147843,4131940
108105,31/01/2012,P,1,64881510,SPX,9999,32768,,A,,235677,7115421
108105,01/02/2012,,1,64881510,SPX,9999,32768,,A,,694260,11404174
108105,01/02/2012,C,1,64881510,SPX,9999,32768,,A,,268494,4187298
108105,01/02/2012,P,1,64881510,SPX,9999,32768,,A,,425766,7216876
108105,02/02/2012,,1,64881510,SPX,9999,32768,,A,,416312,11671124
108105,02/02/2012,C,1,64881510,SPX,9999,32768,,A,,139944,4268997
108105,02/02/2012,P,1,64881510,SPX,9999,32768,,A,,276368,7402127
108105,03/02/2012,,1,64881510,SPX,9999,32768,,A,,1105854,11854803
108105,03/02/2012,C,1,64881510,SPX,9999,32768,,A,,491489,4321638
108105,03/02/2012,P,1,64881510,SPX,9999,32768,,A,,614365,7533165
108105,06/02/2012,,1,64881510,SPX,9999,32768,,A,,398667,12030835
108105,06/02/2012,C,1,64881510,SPX,9999,32768,,A,,148690,4406029
108105,06/02/2012,P,1,64881510,SPX,9999,32768,,A,,249977,7624806
